Ligand_SMILES,Catalyst_SMILES,Catalyst_Name,CompatibilityScore,SimilarityScore,CombinedScore
O=C(N[C@@H](Cc1ccccc1)C(=O)O)c1ccc(CN2C(=O)C(CC(O)CC3Sc4ccccc4CC3=O)N=C2O)cc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.604227183524798,0.9935133173893979,0.7210130236841779
CC1(C)CCC2C(=O)N(CC(=O)NC3CC3)C(=O)C3=NC4CCC(C4)C3C2C1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6708615498369421,0.9737720068669014,0.7617346869459298
O=C(O)CCCC(CC(=O)N(CCc1ccccc1)CC(=O)O)N1C(=O)CC(c2cccs2)Cc2ccccc2C1=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6044760490152368,0.9943992971551457,0.7214530234572094
CC1CC2CC(C1)CC1CC(C2)NC(=O)CN2C(=O)C3CC=CC1CC3C2=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6648428908485863,0.9772822916648747,0.7585747110934729
O=C(O)C1=C(O)c2ccccc2C(Oc2cccc3ccccc23)=NN1CC(c1ccccc1)c1ccc(Br)cc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6211573437295145,0.9815166261919251,0.7292651284682377
NC(=O)C(CCCC(=O)O)N1C(=O)c2ccccc2C(N(CCCSCc2ccccc2)C(=O)c2ccccc2)C1=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6038630183155961,0.994187330020596,0.720960311827096
CC1CCC(NC(=O)C2C3CCCCC32C(=O)NC2=NC(c3ccnc(F)c3)=N2)CC1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6582555129741675,0.9750262929903447,0.7532867469790206
O=C(O)CC(Cc1ccccc1)N1C(=O)CNC(=O)CC(NC(Cc2ccc(C(=O)O)cc2)Cc2cccs2)C1=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6011647758490553,0.993941948021132,0.7189979275006783
CC(C)N1C(=O)C2CCCCC2C1C(C(=O)N1CC1=O)C(O)C1CCCCC1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6680448370813881,0.970872204237987,0.7588930472283677
CC1C(=O)N(C(C)C)C(=O)C2C(C(=O)NC3COC3=O)CC3CCCCC3CC12,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6621276418087823,0.9669311586814217,0.753568696870574
O=C(Oc1ccc(Oc2ccccc2C2ON=c3ccccc3=C2Oc2ccc(O)cc2)cc1)c1ccc2ccccc2c1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6222143948511476,0.9829344650482672,0.7304304159102835
